,0
474,desde
475,durante
476,em
477,entre
478,mediante
479,para
480,perante
481,per
482,por
483,segundo
484,sem
485,sob
486,sobre
487,trás
488,versus
489,catorze
490,cem
491,cinco
492,cinquenta
493,dezanove
494,dezasseis
495,dezassete
496,dez
497,dezoito
498,dobro
499,dois
500,doze
501,duas
502,duzentos
503,mil
504,milhão
505,milhar
506,nove
507,novecentos
508,noventa
509,oitenta
510,oito
511,oitocentos
512,onze
513,quádruplo
514,quarenta
515,quatorze
516,quatro
517,quatrocentos
518,quinhentos
519,quinze
520,seis
521,seiscentos
522,séptuplo
523,sétuplo
524,sessenta
525,sete
526,setecentos
527,setenta
528,sexagésima
529,sêxtuplo
530,três
531,treze
532,trezentos
533,trilião
534,trinta
535,um
536,vinte
537,i
538,ii
539,iii
540,iv
541,v
542,vi
543,vii
544,viii
545,ix
546,x
547,xi
548,xii
549,xiii
550,xiv
551,xv
552,xvi
553,xvii
554,xviii
555,xix
556,xx
557,xxx
558,se
559,aquele
560,aquilo
561,esse
562,este
563,idem
564,isso
565,isto
566,tal
